target_role,student_id,age,gender,city,state,pincode,education_level,institution,institution_tier,major,graduation_year,gpa,gpa_rounded,skills,skills_count,has_python,has_java,has_javascript,has_sql,projects_count,projects,internships_count,internship_companies,has_internship,premium_internship,work_experience_years,experience_level,has_experience,certifications,certifications_count,has_certification,has_github,has_linkedin,online_presence_score,expected_salary_lpa,willing_to_relocate,preferred_locations,education_experience_score,skill_certification_score,overall_profile_score,data_version
Web Developer,STU004547,25,Male,Hyderabad,Telangana,194958,Master's,IIIT Pune,Tier-2,Computer Science,2027,8.04,8,"JavaScript, HTML, Redux, Git, Express, MongoDB, Node.js",7,0,0,1,0,5,Social Media App - 2023 | E-commerce Platform - 2020 | E-commerce Platform - 2020 | Social Media App - 2024 | E-commerce Platform - 2020,0,None,0,0,0.0,Fresher,0,Google UX Design,1,1,1,0,0.5,9.68,1,"Delhi-NCR, Pune",0.8,0.93,0.58,0cd8875c
UX Designer,STU000497,21,Male,Bangalore,Karnataka,165517,Bachelor's,IIIT Bangalore,Tier-2,HCI,2028,8.65,9,"Figma, Information Architecture, Usability Testing, Adobe XD, Prototyping, User Research, Wireframing, Sketch",8,0,0,0,0,5,E-commerce Platform - 2021 | E-commerce Platform - 2023 | E-commerce Platform - 2024 | Weather App - 2024 | Weather App - 2020,1,Swiggy,1,0,0.0,Fresher,0,"HFI Certification, Google UX Design Professional",2,1,1,1,1.0,9.17,1,Delhi-NCR,0.86,1.33,0.68,0cd8875c
Electrical Engineer,STU003941,22,Male,Bangalore,Karnataka,100490,Bachelor's,NIT Trichy,Tier-2,Electrical Engineering,2028,7.27,7,"Power Systems, MATLAB, PLC, VLSI, Circuit Design, Simulink, Embedded Systems",7,0,0,0,0,5,Thermal Analysis - 2023 | Thermal Analysis - 2021 | Circuit Design - 2020 | Circuit Design - 2024 | Circuit Design - 2020,0,None,0,0,0.0,Fresher,0,None,0,0,0,1,0.5,7.44,1,"Mumbai, Pune, Chennai",0.73,0.7,0.51,0cd8875c
Machine Learning Engineer,STU007989,20,Male,Jaipur,Rajasthan,828962,Bachelor's,NIT Calicut,Tier-2,Computer Science,2026,7.54,8,"NLP, MLOps, PyTorch, Scikit-learn, TensorFlow, Computer Vision, Python, Deep Learning",8,1,0,0,0,5,Task Manager - 2022 | Social Media App - 2022 | E-commerce Platform - 2020 | Weather App - 2023 | E-commerce Platform - 2024,2,"KPMG, Accenture",1,0,0.1,Junior,1,"TensorFlow Developer Certificate, NVIDIA DLI Certifications",2,1,1,1,1.0,17.52,1,Pune,0.77,1.33,0.65,0cd8875c
Business Analyst,STU002470,19,Female,Pune,Maharashtra,245491,Master's,IIM Trichy,Tier-1,Business Analytics,2027,7.25,7,"Excel, Visio, Data Analysis, Power BI, Requirements Gathering, Stakeholder Management, SQL",7,0,0,0,1,4,Financial Model - 2023 | Financial Model - 2021 | Marketing Campaign - 2020 | HR Policy - 2020,0,None,0,0,0.0,Fresher,0,None,0,0,0,1,0.5,10.3,0,Pune,0.72,0.7,0.51,0cd8875c
Data Scientist,STU008124,19,Male,Lucknow,Uttar Pradesh,344420,Master's,IIT Bombay,Tier-1,Mathematics,2027,9.1,9,"Tableau, Pandas, TensorFlow, NumPy, R, Python, Statistics, SQL",8,1,0,0,1,5,Weather App - 2023 | Weather App - 2022 | Social Media App - 2021 | Social Media App - 2024 | E-commerce Platform - 2021,1,PhonePe,1,0,0.0,Fresher,0,"AWS Certified Data Analytics, TensorFlow Developer Certificate, IBM Data Science Professional",3,1,1,1,1.0,12.73,0,"Bangalore, Chennai, Delhi-NCR",0.91,1.6,0.74,0cd8875c
Web Developer,STU007903,24,Female,Chennai,Tamil Nadu,255410,Bachelor's,IIT Guwahati,Tier-1,Web Development,2024,7.44,7,"MongoDB, CSS, Git, Redux, HTML, Node.js, JavaScript, TypeScript, React, Express",10,0,0,1,0,3,Social Media App - 2023 | Task Manager - 2022 | Task Manager - 2024,2,"Uber, Wipro",1,0,2.2,Mid-Level,1,AWS Certified Cloud Practitioner,1,1,1,1,1.0,5.9,0,Chennai,1.07,1.33,0.71,0cd8875c
Business Analyst,STU006000,21,Male,Lucknow,Uttar Pradesh,734405,Bachelor's,JNU,Tier-2,Statistics,2024,8.58,9,"Visio, Power BI, Tableau, SQL, Excel, Stakeholder Management, Requirements Gathering",7,0,0,0,1,2,Financial Model - 2024 | Financial Model - 2020,3,"Cisco, Oracle, CRED",1,0,2.4,Mid-Level,1,"Tableau Certification, Google Data Analytics, Certified Business Analysis Professional",3,1,0,1,0.5,8.91,1,Bangalore,1.27,1.4,0.76,0cd8875c
Software Engineer,STU002115,26,Male,Jaipur,Rajasthan,904704,Bachelor's,Amity University,Tier-2,Information Technology,2025,6.55,7,"Algorithms, C++, Java, Python, SQL, Docker",6,1,1,0,1,4,Social Media App - 2022 | E-commerce Platform - 2022 | Task Manager - 2022 | Task Manager - 2020,3,"Paytm, Ola, Uber",1,0,1.8,Junior,1,"Microsoft Certified: Azure Developer, Google Cloud Developer",2,1,1,1,1.0,9.11,0,"Chennai, Pune",0.89,1.0,0.61,0cd8875c
Business Analyst,STU007273,24,Female,Delhi,Delhi,962655,Bachelor's,Pune University,Tier-2,MBA,2027,6.93,7,"Tableau, SQL, Data Analysis, Stakeholder Management, Excel, Visio, Power BI, Requirements Gathering",8,0,0,0,1,2,Market Analysis - 2020 | HR Policy - 2024,2,"Wipro, Deloitte",1,0,0.0,Fresher,0,Google Data Analytics,1,1,0,1,0.5,9.1,0,Mumbai,0.69,1.07,0.58,0cd8875c
