resume_id,resume_text,target_role,years_experience,seniority
seed-1501,"Skills: NLP, Machine Learning, Pandas Projects: Built ML model Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1502,"Skills: Python, Deep Learning, Pandas Projects: NLP pipeline Experience Years: 5.0 Seniority: Senior",Data Scientist,5.0,Senior
seed-1503,"Skills: Machine Learning, Deep Learning, Pandas Projects: Built ML model Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1504,"Skills: Deep Learning, NLP, Pandas Projects: NLP pipeline Experience Years: 5.0 Seniority: Senior",Data Scientist,5.0,Senior
seed-1505,"Skills: Python, NLP, Deep Learning Projects: Prediction system Experience Years: 1.0 Seniority: Junior",Data Scientist,1.0,Junior
seed-1506,"Skills: Machine Learning, NLP, Deep Learning Projects: Prediction system Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1507,"Skills: Pandas, NLP, Machine Learning Projects: NLP pipeline Experience Years: 3.0 Seniority: Mid",Data Scientist,3.0,Mid
seed-1508,"Skills: NLP, Deep Learning, Machine Learning Projects: Prediction system Experience Years: 1.0 Seniority: Junior",Data Scientist,1.0,Junior
seed-1509,"Skills: Python, Pandas, Deep Learning Projects: Built ML model Experience Years: 4.0 Seniority: Senior",Data Scientist,4.0,Senior
seed-1510,"Skills: Machine Learning, Deep Learning, Python Projects: Prediction system Experience Years: 1.0 Seniority: Junior",Data Scientist,1.0,Junior
seed-1511,"Skills: NLP, Python, Deep Learning Projects: Built ML model Experience Years: 4.0 Seniority: Senior",Data Scientist,4.0,Senior
seed-1512,"Skills: Python, Pandas, NLP Projects: Built ML model Experience Years: 1.0 Seniority: Junior",Data Scientist,1.0,Junior
seed-1513,"Skills: Python, NLP, Machine Learning Projects: NLP pipeline Experience Years: 5.0 Seniority: Senior",Data Scientist,5.0,Senior
seed-1514,"Skills: Machine Learning, Python, Pandas Projects: NLP pipeline Experience Years: 5.0 Seniority: Senior",Data Scientist,5.0,Senior
seed-1515,"Skills: Python, Deep Learning, NLP Projects: Prediction system Experience Years: 0.0 Seniority: Junior",Data Scientist,0.0,Junior
seed-1516,"Skills: Python, Machine Learning, NLP Projects: Prediction system Experience Years: 2.0 Seniority: Mid",Data Scientist,2.0,Mid
