resume_id,resume_text,target_role,years_experience,seniority
1,"Experienced in DSA, C++, Python. Worked on Developed backend system. 4 years of experience.",Software Engineer,4,Senior
2,"Experienced in Python, C++, Java. Worked on Optimized algorithms. 2 years of experience.",Software Engineer,2,Mid
3,"Experienced in System Design, Python, Java. Worked on Optimized algorithms. 2 years of experience.",Software Engineer,2,Mid
4,"Experienced in Java, System Design, C++. Worked on Developed backend system. 2 years of experience.",Software Engineer,2,Mid
5,"Experienced in OOP, Python, DSA. Worked on Optimized algorithms. 5 years of experience.",Software Engineer,5,Senior
6,"Experienced in DSA, Java, C++. Worked on Built REST API. 2 years of experience.",Software Engineer,2,Mid
7,"Experienced in System Design, Java, DSA. Worked on Optimized algorithms. 0 years of experience.",Software Engineer,0,Junior
8,"Experienced in DSA, C++, OOP. Worked on Developed backend system. 2 years of experience.",Software Engineer,2,Mid
9,"Experienced in C++, System Design, OOP. Worked on Optimized algorithms. 0 years of experience.",Software Engineer,0,Junior
10,"Experienced in System Design, OOP, Java. Worked on Built REST API. 5 years of experience.",Software Engineer,5,Senior
11,"Experienced in Java, OOP, Python. Worked on Built REST API. 2 years of experience.",Software Engineer,2,Mid
12,"Experienced in System Design, Java, DSA. Worked on Developed backend system. 2 years of experience.",Software Engineer,2,Mid
13,"Experienced in Python, System Design, DSA. Worked on Built REST API. 2 years of experience.",Software Engineer,2,Mid
14,"Experienced in Java, C++, DSA. Worked on Developed backend system. 2 years of experience.",Software Engineer,2,Mid
15,"Experienced in System Design, C++, Python. Worked on Developed backend system. 5 years of experience.",Software Engineer,5,Senior
16,"Experienced in Java, OOP, DSA. Worked on Optimized algorithms. 0 years of experience.",Software Engineer,0,Junior
17,"Experienced in Python, Java, OOP. Worked on Developed backend system. 0 years of experience.",Software Engineer,0,Junior
18,"Experienced in OOP, C++, Python. Worked on Optimized algorithms. 1 years of experience.",Software Engineer,1,Junior
19,"Experienced in System Design, Python, Java. Worked on Developed backend system. 1 years of experience.",Software Engineer,1,Junior
20,"Experienced in C++, DSA, OOP. Worked on Built REST API. 2 years of experience.",Software Engineer,2,Mid
21,"Experienced in OOP, Java, Python. Worked on Optimized algorithms. 0 years of experience.",Software Engineer,0,Junior
22,"Experienced in Python, Java, System Design. Worked on Built REST API. 1 years of experience.",Software Engineer,1,Junior
